Beer,Pairing Descriptor,Reasoning
Saison,Vietnamese,"Like Thai and Japanese food, Vietnamese food balances sweet and salty, as well as bright flavors - such as lime and cilantro - against dark ones - such as soy sauce and mushrooms.  Saisons can match both the bright elements of Vietnamese food, but have enough earthiness to mingle with the darker ones"
Saison,Japanese,"Like Vietnamese and Thai food, Japanese food balances sweet and salty, as well as bright flavors - such as lime and cilantro - against dark ones - such as soy sauce and mushrooms.  Saisons can match both the bright elements of Japanese food, but have enough earthiness to mingle with the darker ones."
Saison,Mexican,"Saisons cut through heat and spice, and work well with spicy Mexican dishes."
Saison,Cajun,"Saisons cut through heat and spice, and work well with spicy Cajun dishes."
Saison,Indian,"Saisons cut through heat and spice, and work well with spicy Indian dishes."
Trappist Dubbel,Game,The dark flavors in gamy meat pair well with the herbal notes in Trappist dubbels.
Trappist Dubbel,Lamb,"The high carbonation, sweet center, and dry finish of Trappist dubbels pair well with lamb."
Trappist Dubbel,Duck,"The high carbonation, sweet center, and dry finish of Trappist dubbels pair well with fatty, sweet duck."
Trappist Dubbel,Beef,"Trappist dubbels pair well with beef and steak, but pair especially well with beef stew."
Trappist Dubbel,Sausage,"The high carbonation, sweet center, and dry finish of Trappist dubbels pair well with sausage."
Trappist Dubbel,Pork,"The high carbonation, sweet center, and dry finish of Trappist dubbels pair well with pork dishes.  Dark fruit and caramel flavors - whether through roasted skin or sauces - make this match even better."
Trappist Dubbel,Chicken,The caramel flavors of roasted or braised chicken pair well with the caramel undertones of Trappist dubbels.
Trappist Dubbel,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Trappist Dubbel,American (Traditional),"The high carbonation, sweet center, and dry finish of Trappist dubbels pair well with hearty comfort food."
Trappist Dubbel,Burgers,"The high carbonation, sweet center, and dry finish of Trappist dubbels cut through fat and marry well with savory burgers."
Trappist Tripel,Latin American,"The strength and dark flavors of dubbels pair well with the bold flavors of Latin American food, particularly meat dishes."
Trappist Tripel,Sausage,The bitterness and herbal flavors of Trappist tripels make them an excellent match for virtually any sausage.
Trappist Tripel,Duck,The herbal flavors of Trappist tripels make lighten duck dishes and enhance their flavor.
Trappist Tripel,Game,"The herbal flavors of Trappist tripels make them a fantastic pairing with game, especially game birds like pheasant, partridge, and quail."
Trappist Tripel,Seafood,Fatty fish and grilled seafood pair especially well with the malt sweetness and burnt sugar flavors of tripels.
Trappist Tripel,Fatty Fish,"Fatty fish, or fish that has been fried, stand up well to the strength of the tripel; lighter, poached fish will be overwhelmed."
Trappist Tripel,Mexican,"The herbal flavors of tripels pair well with Mexican vegetables, while their strong hops cut through cheese."
Trappist Tripel,Latin American,The strength and herbal flavors of tripels stand up to the bold flavors of Latin American food.
Trappist Tripel,Thai,Tripels pair especially well with basil.
Trappist Tripel,Italian (traditional),Tripels pair especially well with basil and pesto sauce.
Trappist Tripel,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Trappist Tripel,Japanese (sushi),"Herbal and rummy, tripels pair well with the fatty  fish in sushi."
Abbey Style,Game,"Abbey styles vary greatly.  If styled like a dubbe, it will pair well with game."
Abbey Style,Lamb,"Abbey styles vary greatly.  If styled like a dubbel, it will pair well with lamb."
Abbey Style,Duck,"Abbey styles vary greatly.  If styled like a dubbel or tripel, it will pair well with duck."
Abbey Style,Beef,"Abbey styles vary greatly.  If styled like a dubbel, it will pair well with beef."
Abbey Style,Sausage,"Abbey styles vary greatly.  If styled like a dubbel or tripel, it will pair well with sausages."
Abbey Style,Pork,"Abbey styles vary greatly.  If styled like a dubbel, it will pair well with pork."
Abbey Style,Chicken,"Abbey styles vary greatly.  If styled like a dubbel, it will pair well with chicken."
Abbey Style,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Abbey Style,American (Traditional),"Abbey styles vary greatly.  If styled like a dubbel, it will pair well with American cuisine."
Abbey Style,Burgers,"Abbey styles vary greatly.  If styled like a dubbel, it will pair well with burgers."
Abbey Style,Latin American,"Abbey styles vary greatly.  If styled like a dubbel or tripel, it will pair well with burgers."
Abbey Style,Duck,"Abbey styles vary greatly.  If styled like a tripel, it will pair well with duck."
Abbey Style,Seafood,"Abbey styles vary greatly.  If styled like a tripel, it will pair well with seafood."
Abbey Style,Fatty Fish,"Abbey styles vary greatly.  If styled like a tripel, it will pair well with fatty fish."
Abbey Style,Mexican,"Abbey styles vary greatly.  If styled like a tripel, it will pair well with Mexican food."
Abbey Style,Thai,"Abbey styles vary greatly.  If styled like a tripel, it will pair well with Thai food."
Abbey Style,Italian (traditional),"Abbey styles vary greatly.  If styled like a tripel, it will pair well with traditional Italian cuisine."
Abbey Style,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Abbey Style,Japanese (sushi),"Abbey styles vary greatly.  If styled like a tripel, it will pair well with sushi."
Golden Ale,Fatty fish,"The palate-cleansing carbonation and fruitiness of golden ales pair well with salty, fatty foods, such as fatty fish."
Golden Ale,White fish,The delicate flavor of golden ales pairs well with white-fleshed fish.  Golden ales will accentuate citrus notes for delicate fish prepared with lemon.
Golden Ale,Shellfish,"The delicate flavor of golden ales pairs well with shellfish, and its high carbonation cleanses the palate of lingering seafood taste."
Golden Ale,Chicken,"The clean flavors of golden ales pair well with chicken, especially when prepared with basil."
Golden Ale,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Golden Ale,Thai,"Golden ales pair well with Thai herbs, especially basil."
Golden Ale,Indian,The hop snap and high carbonation of golden ales cut through ghee and cleanse the palate.
Golden Ale,Italian (traditional),The palate-cleansing carbonation and clean hop bitterness of golden ales give the beer enough heft to stand up to intense garlic tastes and pairs well with pesto.
Lambic,Seafood,"The lack of bitterness and high acidity make lambics an excellent match for seafood, especially when the foood is prepared with lemon or citrus flavors.  Moules frites - a Belgian staple of mussels and fries - are often steamed in gueuze."
Lambic,Fatty fish,The acidity of lambics cuts through oily fish.
Lambic,Shellfish,"The acidity of lambics pairs well with shellfish, especially when prepared with lemon or citrus flavors."
Lambic,Sausage,The acidity of lambics pairs cuts through sausage fat.
Lambic,Salad,"The acidity and and lightness of lambics pair well with salad, especially if the salad contains goat cheese."
Lambic,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Fruit Beers,Duck,Sour cherry kriek cuts through the fattiness of duck.
Fruit Beers,Chicken,"Fruit beers pair well with chicken, especially if there are similar fruit notes in the chicken's sauce or preparation."
Fruit Beers,Dessert,Sweet fruit beers pair well with sweet desserts.  They are especially stellar with chocolate dishes.
Fruit Beers,Belgian,"Belgian beer and Belgian food - it's like they were made for each other!  Oh, right˜"
Fruit Beers,Mexican,Fruit beers pair very well with Mexican chocolate-based mole dishes.
Fruit Beers,Brunch,"Light and sweet, fruit beers make excellent accompaniments to brunch fare."
